State,Population,AreaInSqKm,DensityPerSqKm,PopulationDensity
Uttar Pradesh,199812341,240928,828,36.45
Maharashtra,112372972,307713,365,0.46
Bihar,103804637,94163,1102,21.74
West Bengal,91347736,88752,1029,21.67
Madhya Pradesh,72597565,308245,236,92.32
Tamil Nadu,72138958,130058,555,18.73
Rajasthan,68621012,342239,201,284.98
Karnataka,61130704,191791,319,177.92
Gujarat,60383628,196024,308,135.37
Andhra Pradesh,49386799,162968,303,65.02
Odisha,41947358,155707,269,81.78
Telangana,35286757,114840,307,7.34
Kerala,33387677,38863,859,89.23
Jharkhand,32966238,79714,414,69.88
Assam,31169272,78438,397,56.25
Punjab,27704236,50362,550,44.32
Chattisgarh,25540196,135191,189,12.56
Haryana,25353081,44212,573,21.56
Jammu and Kashmir,12548926,222236,57,22.45
Uttarakhand,10116752,53483,189,56.36
Himachal Pradesh,6864602,55673,123,85.26
Tripura,3671032,10486,350,46.67
Meghalaya,2964007,22429,132,75.54
Manipur,2721756,22327,122,26.52
Nagaland,1980602,16579,119,55.12
Goa,1457723,3702,394,15.35
Arunachal Pradesh,1382611,21000,50,25.15
Mizoram,1091014,21081,52,55.56
Sikkim,607688,7096,86,33.56
